locus_tag	ftype	length_bp	gene	EC_number	COG	product
IJICCACA_01956	CDS	1182	sugC			sugar ABC transporter ATP-binding protein SugC
IJICCACA_01957	CDS	1101	corA			magnesium and cobalt transport transmembrane protein CorA
IJICCACA_01958	CDS	990	mdh			malate dehydrogenase
IJICCACA_01959	CDS	270	vapB33			antitoxin VapB33
IJICCACA_01960	CDS	432	vapC33			ribonuclease VapC33
IJICCACA_01961	CDS	1689	PE_PGRS23			PE-PGRS family protein PE_PGRS23
IJICCACA_01962	CDS	936	lpqZ			lipoprotein LpqZ
IJICCACA_01963	CDS	831				short-chain type dehydrogenase/reductase
IJICCACA_01964	CDS	294	relE			toxin RelE
IJICCACA_01965	CDS	270	relB			antitoxin RelB
IJICCACA_01966	CDS	3696				multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase dihydrolipoyllysine-residue succinyltransferase
IJICCACA_01967	CDS	789				membrane protein
IJICCACA_01968	CDS	1740				MFS-type drug transporter
IJICCACA_01969	CDS	3420				hypothetical protein
IJICCACA_01970	CDS	609	lprE			lipoprotein LprE
IJICCACA_01971	CDS	1692	deaD			ATP-dependent RNA helicase DeaD
IJICCACA_01972	CDS	1152				acyltransferase
IJICCACA_01973	CDS	609				HTH-type transcriptional regulator
IJICCACA_01974	CDS	1206	cyp130			cytochrome P450 Cyp130
IJICCACA_01975	CDS	1368				oxidoreductase
IJICCACA_01976	CDS	1260				multidrug-efflux transporter
IJICCACA_01977	CDS	813	udgB			uracil DNA glycosylase
IJICCACA_01978	CDS	1119				oxidoreductase
IJICCACA_01979	CDS	474	ddn_1			deazaflavin-dependent nitroreductase
IJICCACA_01980	CDS	435				hypothetical protein
IJICCACA_01981	CDS	1389	amiB2			amidase AmiB
IJICCACA_01982	CDS	1194				adenylyl cyclase
IJICCACA_01983	misc_RNA	109				ncrMT1302
IJICCACA_01984	CDS	555				putative protein
IJICCACA_01985	CDS	1881	pknH			serine/threonine-protein kinase PknH
IJICCACA_01986	CDS	1167	embR			transcriptional regulator EmbR
IJICCACA_01987	CDS	699				hypothetical protein
IJICCACA_01988	CDS	375				Protein
IJICCACA_01989	CDS	735	lprA			lipoprotein LprA
IJICCACA_01990	CDS	342				hypothetical protein
IJICCACA_01991	CDS	1845				drug ABC transporter ATP-binding protein
IJICCACA_01992	CDS	1749				drug ABC transporter ATP-binding protein
IJICCACA_01993	CDS	558	lprB			lipoprotein LprB
IJICCACA_01994	CDS	543	lprC			lipoprotein LprC
IJICCACA_01995	CDS	507		3.1.3.-	COG2062	putative protein
IJICCACA_01996	CDS	1152				hypothetical protein
IJICCACA_01997	CDS	2628				putative protein
IJICCACA_01998	CDS	1587				GMC-type oxidoreductase
IJICCACA_01999	CDS	1638	oppA			oligopeptide ABC transporter substrate-binding lipoprotein OppA
IJICCACA_02000	CDS	1839	oppD			oligopeptide ABC transporter ATP-binding protein OppD
IJICCACA_02001	CDS	876	oppC			oligopeptide ABC transporter permease OppC
IJICCACA_02002	CDS	978	oppB			oligopeptide ABC transporter permease OppB
IJICCACA_02003	CDS	492	canA			beta-carbonic anhydrase
IJICCACA_02004	CDS	999	cysD			sulfate adenylyltransferase subunit 2
IJICCACA_02005	CDS	1845				adenylyl-sulfate kinase
IJICCACA_02006	CDS	486				HTH-type transcriptional regulator
IJICCACA_02007	CDS	1218			COG0627	putative protein
IJICCACA_02008	CDS	633				putative protein
IJICCACA_02009	CDS	1404			COG4325	putative protein
IJICCACA_02010	CDS	369				hypothetical protein
IJICCACA_02011	CDS	336				hypothetical protein
IJICCACA_02012	tRNA	74				tRNA-Arg(ccg)
IJICCACA_02013	CDS	1653	argS			arginine--tRNA ligase
IJICCACA_02014	CDS	1344	lysA			diaminopimelate decarboxylase
IJICCACA_02015	CDS	1326	thrA			homoserine dehydrogenase
IJICCACA_02016	CDS	1083	thrC			threonine synthase
IJICCACA_02017	CDS	951	thrB			homoserine kinase
IJICCACA_02018	CDS	1809	rho			transcription termination factor Rho
IJICCACA_02019	CDS	243	rpmE			50S ribosomal protein L31
IJICCACA_02020	CDS	1074	prfA			peptide chain release factor PrfA
IJICCACA_02021	CDS	978	hemK			release factor glutamine methyltransferase
IJICCACA_02022	CDS	654				threonylcarbamoyl-AMP synthase
IJICCACA_02023	CDS	1215	rfe			decaprenyl-phosphate N-acetylglucosaminephosphotransferase
IJICCACA_02024	CDS	486				putative protein
IJICCACA_02025	CDS	753	atpB			ATP synthase subunit A
IJICCACA_02026	CDS	246	atpE			ATP synthase subunit C
IJICCACA_02027	CDS	516	atpF			ATP synthase subunit B
IJICCACA_02028	CDS	1341	atpH			ATP synthase subunit b/delta
IJICCACA_02029	CDS	1650	atpA			ATP synthase subunit alpha
IJICCACA_02030	CDS	918	atpG			ATP synthase subunit gamma
IJICCACA_02031	CDS	1461	atpD			ATP synthase subunit beta
IJICCACA_02032	CDS	366	atpC			ATP synthase subunit epsilon
IJICCACA_02033	CDS	432				putative protein
IJICCACA_02034	CDS	186				hypothetical protein
IJICCACA_02035	CDS	423				hypothetical protein
IJICCACA_02036	CDS	462				hypothetical protein
IJICCACA_02037	CDS	1230				hypothetical protein
IJICCACA_02038	CDS	804				hypothetical protein
IJICCACA_02039	CDS	252				hypothetical protein
IJICCACA_02040	CDS	1227	ldtB_2			L,D-transpeptidase LdtB
IJICCACA_02041	tRNA	74				tRNA-Lys(ctt)
IJICCACA_02042	CDS	1479	PE26			PE family protein PE26
IJICCACA_02043	CDS	228				membrane protein
IJICCACA_02044	CDS	474	bcp			peroxiredoxin
IJICCACA_02045	CDS	1413	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
IJICCACA_02046	CDS	393	acpS			holo-ACP synthase
IJICCACA_02047	CDS	9210	fas			fatty acid synthase
IJICCACA_02048	CDS	723		3.2.1.17		Putative peptidoglycan hydrolase
IJICCACA_02049	CDS	228	vapB17			antitoxin VapB17
IJICCACA_02050	CDS	402	vapC17			ribonuclease VapC17
IJICCACA_02051	CDS	921	mrr			restriction system protein
IJICCACA_02052	CDS	951				hypothetical protein
IJICCACA_02053	CDS	420	vapC39			ribonuclease VapC39
IJICCACA_02054	CDS	2844				amino acid decarboxylase
IJICCACA_02055	CDS	402				hypothetical protein
IJICCACA_02056	CDS	471	nusB			N utilization substance protein B
IJICCACA_02057	CDS	564	efp			elongation factor P
IJICCACA_02058	CDS	1119	pepQ			cytoplasmic peptidase PepQ
IJICCACA_02059	CDS	693				transmembrane protein
IJICCACA_02060	CDS	444	aroD			3-dehydroquinate dehydratase
IJICCACA_02061	CDS	1089	aroB			3-dehydroquinate synthase
IJICCACA_02062	CDS	531	aroK			shikimate kinase
IJICCACA_02063	CDS	1206	aroF			chorismate synthase
IJICCACA_02064	CDS	315				hypothetical protein
IJICCACA_02065	CDS	1212				hypothetical protein
IJICCACA_02066	CDS	558	lppA			lipoprotein LppA
IJICCACA_02067	CDS	561	lppB			lipoprotein LppB
IJICCACA_02068	CDS	279	vapB18			antitoxin VapB18
IJICCACA_02069	CDS	414	vapC18			ribonuclease VapC18
IJICCACA_02070	CDS	273	vapB19			antitoxin VapB19
IJICCACA_02071	CDS	378	vapC19			ribonuclease VapC19
IJICCACA_02072	CDS	375				hypothetical protein
IJICCACA_02073	CDS	396	vapC20			ribonuclease VapC20
IJICCACA_02074	CDS	246	vapB20			antitoxin VapB20
IJICCACA_02075	CDS	420				hypothetical protein
IJICCACA_02076	CDS	810	aroE			shikimate 5-dehydrogenase
IJICCACA_02077	CDS	1257				membrane protein
IJICCACA_02078	CDS	429				Holliday junction resolvase
IJICCACA_02079	CDS	2715	alaS			alanine--tRNA ligase
IJICCACA_02080	CDS	402				hypothetical protein
IJICCACA_02081	CDS	675				putative protein
IJICCACA_02082	CDS	624				putative protein
IJICCACA_02083	CDS	1359			COG2256	putative AAA domain-containing protein
IJICCACA_02084	CDS	978			COG5473	putative protein
IJICCACA_02085	CDS	324				hypothetical protein
IJICCACA_02086	CDS	294				hypothetical protein
IJICCACA_02087	CDS	507				hypothetical protein
IJICCACA_02088	CDS	1050				glutamine ABC transporter permease
IJICCACA_02089	CDS	993	glnQ			glutamine ABC transporter ATP-binding protein
IJICCACA_02090	CDS	1752				NTE family protein
IJICCACA_02091	CDS	3342				hypothetical protein
IJICCACA_02092	CDS	2655			COG2307	putative protein
IJICCACA_02093	CDS	1026			COG4307	putative protein
IJICCACA_02094	CDS	945			COG1305	putative protein
IJICCACA_02095	CDS	390				hypothetical protein
IJICCACA_02096	CDS	1068				transmembrane protein
IJICCACA_02097	CDS	1785	aspS			aspartate--tRNA ligase
IJICCACA_02098	CDS	828				2-dehydropantoate 2-reductase
IJICCACA_02099	CDS	504				putative protein
IJICCACA_02100	CDS	882				membrane protein
IJICCACA_02101	CDS	423				membrane protein
IJICCACA_02102	CDS	1398				hypothetical protein
IJICCACA_02103	CDS	1023				hypothetical protein
IJICCACA_02104	CDS	903	dhaA			haloalkane dehalogenase
IJICCACA_02105	CDS	1272	hisS			histidine--tRNA ligase
IJICCACA_02106	CDS	675				glyoxalase II
IJICCACA_02107	CDS	927	ppiB			peptidyl-prolyl cis-trans isomerase B
IJICCACA_02108	CDS	2373	relA			bifunctional (p)ppGpp synthase/hydrolase RelA
IJICCACA_02109	CDS	672	apt			adenine phosphoribosyltransferase
IJICCACA_02110	CDS	1674				lipoprotein
IJICCACA_02111	CDS	1329	secF			protein translocase subunit SecF
IJICCACA_02112	CDS	1722	secD			protein translocase subunit SecD
IJICCACA_02113	CDS	348	yajC			membrane protein secretion factor YajC
IJICCACA_02114	CDS	1350	gabT			4-aminobutyrate aminotransferase
IJICCACA_02115	CDS	3507	fadD9			fatty-acid--CoA ligase FadD9
IJICCACA_02116	CDS	1632	PE_PGRS44			PE-PGRS family protein PE_PGRS44
IJICCACA_02117	CDS	1035	ruvB			Holliday junction ATP-dependent DNA helicase RuvB
IJICCACA_02118	CDS	591	ruvA			Holliday junction ATP-dependent DNA helicase RuvA
IJICCACA_02119	CDS	567	ruvC			crossover junction endodeoxyribonuclease RuvC
IJICCACA_02120	CDS	213	vapB40			antitoxin VapB40
IJICCACA_02121	CDS	405	vapC40			ribonuclease VapC40
IJICCACA_02122	CDS	621				membrane protein
IJICCACA_02123	CDS	495				hypothetical protein
IJICCACA_02124	CDS	432				membrane protein
IJICCACA_02125	CDS	402				integral membrane protein
IJICCACA_02126	CDS	1572	speE			spermidine synthase
IJICCACA_02127	CDS	288	vapB41			antitoxin VapB41
IJICCACA_02128	CDS	441	vapC41			ribonuclease VapC41
IJICCACA_02129	CDS	756				transcriptional regulator
IJICCACA_02130	CDS	597	snoP			glutamine amidotransferase SnoP
IJICCACA_02131	CDS	846	tesB2			acyl-CoA thioesterase II
IJICCACA_02132	CDS	900	snzP			pyridoxine biosynthesis protein
IJICCACA_02133	CDS	675	pdxH			pyridoxine/pyridoxamine 5'-phosphate oxidase
IJICCACA_02134	CDS	1743	PPE42			PPE family protein PPE42
IJICCACA_02135	CDS	1056				membrane protein
IJICCACA_02136	CDS	1137	pimA			alpha-(1-2)-phosphatidylinositol mannosyltransferase
IJICCACA_02137	CDS	951				phosphatidylinositol mannoside acyltransferase
IJICCACA_02138	CDS	654	pgsA1			CDP-diacylglycerol--inositol 3-phosphatidyltransferase
IJICCACA_02139	CDS	588				AP-4-A phosphorylase
IJICCACA_02140	CDS	2079	thrS			threonine--tRNA ligase
IJICCACA_02141	CDS	906	PE_PGRS45			PE-PGRS family protein PE_PGRS45
IJICCACA_02142	CDS	852				glycerolphosphodiesterase
IJICCACA_02143	CDS	1191	cyp121			cytochrome P450 Cyp121
IJICCACA_02144	CDS	870				cyclo(L-tyrosyl-L-tyrosyl) synthase
IJICCACA_02145	CDS	330				transmembrane protein
IJICCACA_02146	CDS	369				transmembrane protein
IJICCACA_02147	CDS	300				putative protein
IJICCACA_02148	CDS	528	lppN			lipoprotein LppN
IJICCACA_02149	CDS	1470	cyp128			cytochrome P450 Cyp128
IJICCACA_02150	CDS	1167				hypothetical protein
IJICCACA_02151	CDS	1287	cyp124			cytochrome P450 Cyp124
IJICCACA_02152	CDS	1230				integral membrane protein
IJICCACA_02153	CDS	1779	dnaK_2			Chaperone protein DnaK
IJICCACA_02154	CDS	954				oxidoreductase
IJICCACA_02155	CDS	1095	lnt_1	2.3.1.269		Apolipoprotein N-acyltransferase
IJICCACA_02156	CDS	432	lnt_2	2.3.1.269		Apolipoprotein N-acyltransferase
IJICCACA_02157	CDS	636	gloB_2	3.1.2.6		Hydroxyacylglutathione hydrolase
IJICCACA_02158	CDS	1086	mscR			S-nitrosomycothiol reductase MscR
IJICCACA_02159	CDS	1062				transcriptional regulator
IJICCACA_02160	CDS	819				hypothetical protein
IJICCACA_02161	CDS	513				hypothetical protein
IJICCACA_02162	CDS	219				hypothetical protein
IJICCACA_02163	CDS	411				integral membrane protein
IJICCACA_02164	CDS	504				hypothetical protein
IJICCACA_02165	CDS	930				diacylglycerol kinase
IJICCACA_02166	CDS	1590				flavoprotein
IJICCACA_02167	CDS	570				HTH-type transcriptional regulator
IJICCACA_02168	CDS	1545	glpD1			glycerol-3-phosphate dehydrogenase
IJICCACA_02169	CDS	888				hypothetical protein
IJICCACA_02170	CDS	1422	accD6			acetyl-/propionyl-CoA carboxylase subunit beta
IJICCACA_02171	CDS	1317	kasB			3-oxoacyl-ACP synthase 2
IJICCACA_02172	CDS	1251	kasA			3-oxoacyl-ACP synthase 1
IJICCACA_02173	CDS	348	acpM			meromycolate extension acyl carrier protein
IJICCACA_02174	CDS	909	fabD			malonyl CoA-acyl carrier protein transacylase
IJICCACA_02175	CDS	1245			COG2508	putative protein
IJICCACA_02176	CDS	2793	aceE			pyruvate dehydrogenase E1 component
IJICCACA_02177	CDS	591				putative protein
IJICCACA_02178	CDS	423				putative protein
IJICCACA_02179	CDS	462	ahpE			peroxiredoxin
IJICCACA_02180	tRNA	74				tRNA-Val(tac)
IJICCACA_02181	CDS	126				hypothetical protein
IJICCACA_02182	CDS	816			COG3662	putative protein
IJICCACA_02183	CDS	960	cobD			cobalamin biosynthesis transmembrane protein CobD
IJICCACA_02184	CDS	816				transmembrane protein
IJICCACA_02185	CDS	492	ptpA			protein-tyrosine-phosphatase
IJICCACA_02186	CDS	633	ptkA			protein tyrosine kinase transcriptional regulator PtkA
IJICCACA_02187	CDS	1095	cobC			aminotransferase
IJICCACA_02188	CDS	1140				GTP cyclohydrolase
IJICCACA_02189	CDS	738			COG1579	putative protein
IJICCACA_02190	CDS	1095				multifunctional RNASE H/alpha-ribazole phosphatase/acid phosphatase
IJICCACA_02191	CDS	486				hypothetical protein
IJICCACA_02192	CDS	228				hypothetical protein
IJICCACA_02193	misc_RNA	429				RNaseP_bact_a
IJICCACA_02194	CDS	1542				putative protein
IJICCACA_02195	CDS	846	panB			3-methyl-2-oxobutanoate hydroxymethyltransferase
IJICCACA_02196	CDS	1557	caeA			carboxylesterase A
IJICCACA_02197	CDS	1554				carboxylesterase B
IJICCACA_02198	CDS	1341	glnA2			glutamine synthetase
IJICCACA_02199	CDS	2985	glnE			[glutamate--ammonia-ligase] adenylyltransferase
IJICCACA_02200	CDS	1437	glnA1			glutamine synthetase
IJICCACA_02201	CDS	423				membrane protein
IJICCACA_02202	CDS	753				transmembrane protein
IJICCACA_02203	CDS	936	lipA			lipoyl synthase
IJICCACA_02204	CDS	693	lipB			octanoyltransferase
IJICCACA_02205	CDS	906				epimerase family protein
IJICCACA_02206	CDS	1662	dlaT			pyruvate dehydrogenase E2 component dihydrolipoamide acyltransferase
IJICCACA_02207	CDS	1779	ephD			oxidoreductase EphD
IJICCACA_02208	CDS	1548	pepB			cytosol aminopeptidase
IJICCACA_02209	CDS	1167				adenylyl cyclase
IJICCACA_02210	CDS	1104	gcvT			aminomethyltransferase
IJICCACA_02211	CDS	1107	ilvE			branched-chain amino acid aminotransferase
IJICCACA_02212	CDS	1539				integral membrane protein
IJICCACA_02213	CDS	747	cobS			adenosylcobinamide-GDP ribazoletransferase
IJICCACA_02214	CDS	1086	cobT			nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase
IJICCACA_02215	CDS	93				hypothetical protein
IJICCACA_02216	CDS	495				transmembrane protein
IJICCACA_02217	CDS	1146			COG1929	putative protein
IJICCACA_02218	CDS	357				Protein
IJICCACA_02219	CDS	693				membrane protein
IJICCACA_02220	CDS	975	adoK			adenosine kinase
IJICCACA_02221	CDS	1959	asnB			asparagine synthetase
IJICCACA_02222	CDS	987	ctaC			cytochrome C oxidase subunit II
IJICCACA_02223	CDS	420				cytochrome c oxidase polypeptide 4
IJICCACA_02224	CDS	900	mmpS3_2			membrane protein MmpS3
IJICCACA_02225	CDS	645				transmembrane protein
IJICCACA_02226	CDS	1650	qcrB			ubiquinol-cytochrome C reductase cytochrome subunit B
IJICCACA_02227	CDS	1290	qcrA			ubiquinol-cytochrome C reductase rieske iron-sulfur subunit
IJICCACA_02228	CDS	843	qcrC			ubiquinol-cytochrome C reductase cytochrome subunit C
IJICCACA_02229	CDS	543	ctaE			cytochrome C oxidase subunit III
IJICCACA_02230	CDS	1044	trpD			anthranilate phosphoribosyltransferase
IJICCACA_02231	CDS	1944		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
IJICCACA_02232	CDS	279				hypothetical protein
IJICCACA_02233	CDS	1182				endopeptidase
IJICCACA_02234	CDS	744				hypothetical protein
IJICCACA_02235	CDS	1158	pimB			alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
IJICCACA_02236	CDS	1803	fadD15			long-chain-fatty-acid--CoA ligase FadD15
IJICCACA_02237	CDS	390				hypothetical protein
IJICCACA_02238	CDS	435				hypothetical protein
IJICCACA_02239	CDS	1137				hypothetical protein
IJICCACA_02240	CDS	396				hypothetical protein
IJICCACA_02241	CDS	744				1-acylglycerol-3-phosphate O-acyltransferase
IJICCACA_02242	CDS	1284				alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase
IJICCACA_02243	CDS	939				integral membrane protein
IJICCACA_02244	CDS	507				3'-5' exoribonuclease
IJICCACA_02245	CDS	1389	aroG			phospho-2-dehydro-3-deoxyheptonate aldolase AroG
IJICCACA_02246	CDS	555	tadA	3.5.4.33		tRNA-specific adenosine deaminase
IJICCACA_02247	CDS	669				phosphatase
IJICCACA_02248	CDS	252	moaD1			molybdenum cofactor biosynthesis protein MoaD
IJICCACA_02249	CDS	513	moaC1			cyclic pyranopterin monophosphate synthase accessory protein
IJICCACA_02250	CDS	396	moaB1			pterin-4-alpha-carbinolamine dehydratase
IJICCACA_02251	CDS	948	moaA1			cyclic pyranopterin monophosphate synthase
IJICCACA_02252	CDS	204				hypothetical protein
IJICCACA_02253	CDS	1584	agpS			alkyldihydroxyacetonephosphate synthase
IJICCACA_02254	CDS	1371	fprA			NADPH-ferredoxin reductase FprA
IJICCACA_02255	CDS	1137	prfB			peptide chain release factor PrfB
IJICCACA_02256	CDS	927				transmembrane protein
IJICCACA_02257	CDS	438				hypothetical protein
IJICCACA_02258	CDS	690	ftsE			cell division ATP-binding protein FtsE
IJICCACA_02259	CDS	894	ftsX			cell division protein FtsX
IJICCACA_02260	CDS	483	smpB			SsrA-binding protein
IJICCACA_02261	CDS	852				hypothetical protein
IJICCACA_02262	tmRNA	367	ssrA			transfer-messenger RNA, SsrA
IJICCACA_02263	CDS	318				PemK-like protein
IJICCACA_02264	CDS	201				hypothetical protein
IJICCACA_02265	CDS	1311	lipY			triacylglycerol lipase Lip
IJICCACA_02266	CDS	1140				hypothetical protein
IJICCACA_02267	CDS	477				HTH-type transcriptional regulator
IJICCACA_02268	CDS	1131	hsaA_1			flavin-dependent monooxygenase oxygenase subunit HsaA
IJICCACA_02269	CDS	1005				oxidoreductase
IJICCACA_02270	CDS	921				integral membrane protein
IJICCACA_02271	CDS	1761				hypothetical protein
IJICCACA_02272	CDS	888				hypothetical protein
IJICCACA_02273	CDS	303				hypothetical protein
IJICCACA_02274	CDS	1512	fadD13_2			long chain-fatty-acid--CoA ligase FadD13
IJICCACA_02275	CDS	1425	tgs4			diacyglycerol O-acyltransferase
IJICCACA_02276	CDS	1419				diacyglycerol O-acyltransferase
IJICCACA_02277	CDS	1107	adhD			alcohol dehydrogenase D
IJICCACA_02278	CDS	831				oxidoreductase SadH
IJICCACA_02279	CDS	927	lipR			acetyl-hydrolase LipR
IJICCACA_02280	CDS	1488				FAD-containing monooxygenase MymA
IJICCACA_02281	CDS	1023	virS			HTH-type transcriptional regulator VirS
IJICCACA_02282	CDS	1239				hypothetical protein
IJICCACA_02283	CDS	3333	pknK			serine/threonine-protein kinase PknK
IJICCACA_02284	CDS	828				oxidoreductase
IJICCACA_02285	CDS	402	hab			hydroxylaminobenzene mutase
IJICCACA_02286	CDS	1812				hydrolase
IJICCACA_02287	misc_RNA	45				Ms_AS-5
IJICCACA_02288	CDS	477				hypothetical protein
IJICCACA_02289	CDS	924				hypothetical protein
IJICCACA_02290	CDS	1275				hypothetical protein
IJICCACA_02291	CDS	357				hypothetical protein
IJICCACA_02292	CDS	498				hypothetical protein
IJICCACA_02293	CDS	1110				hypothetical protein
IJICCACA_02294	CDS	381				fluoride ion transporter CrcB
IJICCACA_02295	CDS	399				fluoride ion transporter CrcB
IJICCACA_02296	CDS	1644	pgmA			phosphoglucomutase PgmA
IJICCACA_02297	tRNA	74				tRNA-Ala(ggc)
IJICCACA_02298	CDS	546				putative protein
IJICCACA_02299	CDS	534				DeoR family transcriptional regulator
IJICCACA_02300	CDS	324	mmr			multidrug resistance protein Mmr
IJICCACA_02301	CDS	426				integral membrane protein
IJICCACA_02302	CDS	2277	cstA			carbon starvation protein A
IJICCACA_02303	CDS	1494	ligB			DNA ligase
IJICCACA_02304	CDS	2166	fadE22			acyl-CoA dehydrogenase FadE22
IJICCACA_02305	CDS	1473				GntR family transcriptional regulator
IJICCACA_02306	CDS	1479	cyp136			cytochrome P450 Cyp136
IJICCACA_02307	CDS	651				TetR family transcriptional regulator
IJICCACA_02308	CDS	864				short chain alcohol dehydrogenase/reductase
IJICCACA_02309	CDS	1041	dinP			DNA polymerase IV 2
IJICCACA_02310	CDS	615				TetR family transcriptional regulator
IJICCACA_02311	CDS	555				hypothetical protein
IJICCACA_02312	CDS	240	nrdH			glutaredoxin electron transport protein NrdH
IJICCACA_02313	CDS	453	nrdI			NrdI protein
IJICCACA_02314	CDS	2178	nrdE			ribonucleoside-diphosphate reductase subunit alpha
IJICCACA_02315	CDS	741				AsnC family transcriptional regulator
IJICCACA_02316	CDS	1575				monooxygenase
IJICCACA_02317	CDS	975	nrdF2			ribonucleoside-diphosphate reductase subunit beta NrdF2
IJICCACA_02318	CDS	285				hypothetical protein
IJICCACA_02319	CDS	375				hypothetical protein
IJICCACA_02320	CDS	1041	adhC			NADP-dependent alcohol dehydrogenase
IJICCACA_02321	CDS	984	fecB			FeIII-dicitrate-binding periplasmic lipoprotein
IJICCACA_02322	CDS	1722	ctaD			cytochrome C oxidase cytochrome 1
IJICCACA_02323	CDS	1230	serB2			phosphoserine phosphatase SerB
IJICCACA_02324	CDS	864				ABC transporter ATP-binding protein
IJICCACA_02325	CDS	867				hypothetical protein
IJICCACA_02326	CDS	786	echA17			enoyl-CoA hydratase EchA17
IJICCACA_02327	CDS	1056	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
IJICCACA_02328	CDS	1077				S-adenosylmethionine-dependent methyltransferase
IJICCACA_02329	CDS	684	mpt64_1			immunogenic protein Mpt64
IJICCACA_02330	CDS	1008			COG1520	putative protein
IJICCACA_02331	CDS	903				acetyltransferase
IJICCACA_02332	CDS	549				hypothetical protein
IJICCACA_02333	CDS	390				hypothetical protein
IJICCACA_02334	CDS	1233				glycogen synthase
IJICCACA_02335	CDS	1560				1,4-alpha-glucan-branching protein
IJICCACA_02336	CDS	825				S-adenosylmethionine-dependent methyltransferase
IJICCACA_02337	CDS	801	fixA			electron transfer flavoprotein subunit beta
IJICCACA_02338	CDS	957	fixB			electron transfer flavoprotein subunit alpha
IJICCACA_02339	CDS	846				GCN5-like N-acetyltransferase
IJICCACA_02340	CDS	915				hypothetical protein
IJICCACA_02341	CDS	1182	iscS			cysteine desulfurase
IJICCACA_02342	CDS	1104	trmU			tRNA-specific 2-thiouridylase
IJICCACA_02343	CDS	1470				membrane protein
IJICCACA_02344	CDS	1182				alpha-pyrone synthesis polyketide synthase-like protein
IJICCACA_02345	CDS	981				glycolipid sulfotransferase
IJICCACA_02346	CDS	1320				hypothetical protein
IJICCACA_02347	CDS	1494				hypothetical protein
IJICCACA_02348	CDS	681				transferase
IJICCACA_02349	CDS	1290				hypothetical protein
IJICCACA_02350	CDS	582	pyrR			bifunctional pyrimidine operon regulatory protein/uracil phosphoribosyltransferase
IJICCACA_02351	CDS	960	pyrB			aspartate carbamoyltransferase
IJICCACA_02352	CDS	1293	pyrC			dihydroorotase
IJICCACA_02353	CDS	498				hypothetical protein
IJICCACA_02354	CDS	1131	carA			carbamoyl-phosphate synthase small subunit
IJICCACA_02355	CDS	3348	carB			carbamoyl-phosphate synthase large subunit
IJICCACA_02356	CDS	825	pyrF			orotidine 5'-phosphate decarboxylase
IJICCACA_02357	CDS	309	PE15			PE family protein PE15
IJICCACA_02358	CDS	1620	PPE20			PPE family protein PPE20
IJICCACA_02359	CDS	318	mihF			integration host factor MihF
IJICCACA_02360	CDS	627	gmk			guanylate kinase
IJICCACA_02361	CDS	333	rpoZ			DNA-directed RNA polymerase subunit omega
IJICCACA_02362	CDS	1257	dfp			bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase
IJICCACA_02363	CDS	1212	metK			S-adenosylmethionine synthetase
IJICCACA_02364	CDS	1479				monoxygenase
IJICCACA_02365	CDS	1386	cyp132			cytochrome P450 Cyp132
IJICCACA_02366	CDS	1035				HTH-type transcriptional regulator
IJICCACA_02367	CDS	1731	PE_PGRS25			PE-PGRS family protein PE_PGRS25
IJICCACA_02368	CDS	402	vapC10			ribonuclease VapC10
IJICCACA_02369	CDS	258	vapB10			antitoxin VapB10
IJICCACA_02370	CDS	960	nlhH			carboxylesterase NlhH
IJICCACA_02371	CDS	963	lipI			lipase
IJICCACA_02372	CDS	696				membrane protein
IJICCACA_02373	CDS	1968	priA			primosomal protein N'
IJICCACA_02374	CDS	825				methyltransferase
IJICCACA_02375	CDS	528				transcriptional regulator
IJICCACA_02376	tRNA	87				tRNA-Leu(aag)
IJICCACA_02377	CDS	939	fmt			methionyl-tRNA formyltransferase
IJICCACA_02378	CDS	1374	fmu			16S rRNA m5C967 methyltransferase
IJICCACA_02379	CDS	690	rpe			ribulose-phosphate 3-epimerase
IJICCACA_02380	CDS	1020	ribG			bifunctional riboflavin biosynthesis diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase
IJICCACA_02381	CDS	1557				aminoglycosides/tetracycline-transport integral membrane protein
IJICCACA_02382	CDS	720	lprG			lipoprotein LprG
IJICCACA_02383	CDS	573	ribC			riboflavin synthase
IJICCACA_02384	CDS	516				hypothetical protein
IJICCACA_02385	CDS	402				hypothetical protein
IJICCACA_02386	CDS	1278	ribA2			bifunctional riboflavin biosynthesis GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase
IJICCACA_02387	CDS	483	ribH			6,7-dimethyl-8-ribityllumazine synthase
IJICCACA_02388	CDS	465				membrane protein
IJICCACA_02389	CDS	630	lprH			lipoprotein LprH
IJICCACA_02390	CDS	474				putative protein
IJICCACA_02391	CDS	1884	uvrC			excinuclease ABC subunit UvrC
IJICCACA_02392	CDS	906			COG1660	Nucleotide-binding protein
